aika,arvo
2018-04-17 00:09:03,5.3
2018-04-17 00:19:04,5.3
2018-04-17 00:29:05,4.8
2018-04-17 00:39:06,4.9
2018-04-17 00:49:07,4.9
2018-04-17 00:59:07,5
2018-04-17 01:09:08,5
2018-04-17 01:19:09,5.1
2018-04-17 01:29:10,5
2018-04-17 01:39:12,5
2018-04-17 01:49:12,5
2018-04-17 01:59:14,5.1
2018-04-17 02:09:15,5.1
2018-04-17 02:19:17,5.1
2018-04-17 02:29:17,5.2
2018-04-17 02:39:18,5.3
2018-04-17 02:49:19,5.3
2018-04-17 02:59:19,5.3
2018-04-17 03:09:21,4.8
2018-04-17 03:19:22,4.8
2018-04-17 03:29:23,4.9
2018-04-17 03:39:23,5
2018-04-17 03:49:24,5
2018-04-17 03:59:26,5.1
2018-04-17 04:09:26,5.1
2018-04-17 04:19:27,5
2018-04-17 04:29:28,5.1
2018-04-17 04:39:29,5.1
2018-04-17 04:49:30,5.1
2018-04-17 04:59:32,5.1
2018-04-17 05:09:32,5.2
2018-04-17 05:19:33,5.1
2018-04-17 05:29:34,5.3
2018-04-17 05:39:35,5.3
2018-04-17 05:49:36,5.3
2018-04-17 05:59:37,4.8
2018-04-17 06:09:38,4.8
2018-04-17 06:19:39,4.9
2018-04-17 06:29:40,5
2018-04-17 06:39:41,5
2018-04-17 06:49:42,5.1
2018-04-17 06:59:43,5.1
2018-04-17 07:09:45,5.2
2018-04-17 07:19:45,5.1
2018-04-17 07:29:46,5.1
2018-04-17 07:39:47,5.2
2018-04-17 07:49:49,5.2
2018-04-17 07:59:50,5.2
2018-04-17 08:09:51,5.3
2018-04-17 08:19:52,5.3
2018-04-17 08:29:53,5.3
2018-04-17 08:39:54,5.3
2018-04-17 08:49:56,4.8
2018-04-17 08:59:57,4.9
2018-04-17 09:09:59,4.9
2018-04-17 09:20:00,5
2018-04-17 09:30:00,5
2018-04-17 09:40:01,5.1
2018-04-17 09:50:02,5
2018-04-17 10:00:03,5
2018-04-17 10:10:04,5
2018-04-17 10:20:05,5.1
2018-04-17 10:30:05,5.1
2018-04-17 10:40:07,5.2
2018-04-17 10:50:08,5.2
2018-04-17 11:00:09,5.3
2018-04-17 11:10:10,5.3
2018-04-17 11:20:12,5.3
2018-04-17 11:30:13,5.3
2018-04-17 11:40:15,4.8
2018-04-17 11:50:17,4.9
2018-04-17 12:00:18,5
2018-04-17 12:10:18,5
2018-04-17 12:20:20,5
2018-04-17 12:30:20,5
2018-04-17 12:40:21,5
2018-04-17 12:50:22,5
2018-04-17 13:00:22,5
2018-04-17 13:10:24,5.1
2018-04-17 13:20:25,5.1
2018-04-17 13:30:26,5.2
2018-04-17 13:40:26,5.2
2018-04-17 13:50:27,5.3
2018-04-17 14:00:28,5.3
2018-04-17 14:10:28,5.3
2018-04-17 14:20:30,5.3
2018-04-17 14:30:31,4.8
2018-04-17 14:40:31,4.9
2018-04-17 14:50:32,4.9
2018-04-17 15:00:33,5
2018-04-17 15:10:34,5
2018-04-17 15:20:36,5
2018-04-17 15:30:37,5
2018-04-17 15:40:38,5
2018-04-17 15:50:39,5
2018-04-17 16:00:39,5
2018-04-17 16:10:40,5.1
2018-04-17 16:20:41,5.2
2018-04-17 16:30:44,5.2
2018-04-17 16:40:45,5.3
2018-04-17 16:50:47,5.3
2018-04-17 17:00:48,5.3
2018-04-17 17:10:49,5.3
2018-04-17 17:20:49,4.8
2018-04-17 17:30:50,4.9
2018-04-17 17:40:51,5
2018-04-17 17:50:52,5
2018-04-17 18:00:53,5
2018-04-17 18:10:54,5
2018-04-17 18:20:55,5
2018-04-17 18:30:56,5
2018-04-17 18:40:57,5
2018-04-17 18:50:58,5.1
2018-04-17 19:00:59,5.2
2018-04-17 19:11:00,5.2
2018-04-17 19:21:01,5.3
2018-04-17 19:31:02,5.3
2018-04-17 19:41:03,5.3
2018-04-17 19:51:03,5.3
2018-04-17 20:01:04,4.8
2018-04-17 20:11:05,4.9
2018-04-17 20:21:06,4.9
2018-04-17 20:31:08,5
2018-04-17 20:41:09,5
2018-04-17 20:51:10,5
2018-04-17 21:01:11,5
2018-04-17 21:11:11,5
2018-04-17 21:21:14,5
2018-04-17 21:31:14,5
2018-04-17 21:41:15,5.1
2018-04-17 21:51:16,5.2
2018-04-17 22:01:18,5.2
2018-04-17 22:11:18,5.3
2018-04-17 22:21:19,5.3
2018-04-17 22:31:20,5.3
2018-04-17 22:41:21,5.3
2018-04-17 22:51:22,4.8
2018-04-17 23:01:23,4.9
2018-04-17 23:11:24,5
2018-04-17 23:21:25,5
2018-04-17 23:31:26,5.1
2018-04-17 23:41:27,5.1
2018-04-17 23:51:28,5
2018-04-18 00:01:30,5
2018-04-18 00:11:30,5
2018-04-18 00:21:33,5
2018-04-18 00:31:33,5.1
2018-04-18 00:41:34,5.2
2018-04-18 00:51:35,5.2
2018-04-18 01:01:36,5.3
2018-04-18 01:11:37,5.3
2018-04-18 01:21:38,5.3
2018-04-18 01:31:40,5.2
2018-04-18 01:41:42,4.8
2018-04-18 01:51:43,4.9
2018-04-18 02:01:44,5
2018-04-18 02:11:44,5
2018-04-18 02:21:45,5.1
2018-04-18 02:31:46,5
2018-04-18 02:41:47,5
2018-04-18 02:51:48,5
2018-04-18 03:01:49,5
2018-04-18 03:11:50,5
2018-04-18 03:21:51,5.2
2018-04-18 03:31:51,5.2
2018-04-18 03:41:52,5.2
2018-04-18 03:51:53,5.3
2018-04-18 04:01:54,5.3
2018-04-18 04:11:55,5.3
2018-04-18 04:21:56,4.8
2018-04-18 04:31:57,4.8
2018-04-18 04:41:57,4.9
2018-04-18 04:51:59,5
2018-04-18 05:02:01,5.1
2018-04-18 05:12:02,5.1
2018-04-18 05:22:03,5
2018-04-18 05:32:04,5
2018-04-18 05:42:05,5
2018-04-18 05:52:07,5.1
2018-04-18 06:02:07,5.1
2018-04-18 06:12:09,5.2
2018-04-18 06:22:10,5.2
2018-04-18 06:32:11,5.3
2018-04-18 06:42:12,5.3
2018-04-18 06:52:13,5.3
2018-04-18 07:02:14,5.3
2018-04-18 07:12:14,4.8
2018-04-18 07:22:16,4.9
2018-04-18 07:32:17,5
2018-04-18 07:42:19,5
2018-04-18 07:52:20,5
2018-04-18 08:02:21,5
2018-04-18 08:12:22,5
2018-04-18 08:22:23,5
2018-04-18 08:32:23,5
2018-04-18 08:42:24,5
2018-04-18 08:52:25,5.1
2018-04-18 09:02:26,5.2
2018-04-18 09:12:27,5.2
2018-04-18 09:22:28,5.3
2018-04-18 09:32:29,5.3
2018-04-18 09:42:29,5.3
2018-04-18 09:52:32,5.3
2018-04-18 10:02:33,4.8
2018-04-18 10:12:34,4.9
2018-04-18 10:22:35,5
2018-04-18 10:32:36,5
2018-04-18 10:42:37,5
2018-04-18 10:52:39,5
2018-04-18 11:02:40,5
2018-04-18 11:12:41,5
2018-04-18 11:22:42,5
2018-04-18 11:32:43,5
2018-04-18 11:42:43,5.1
2018-04-18 11:52:44,5.2
2018-04-18 12:02:45,5.2
2018-04-18 12:12:45,5.3
2018-04-18 12:22:47,5.3
2018-04-18 12:32:48,5.3
2018-04-18 12:42:50,5.3
2018-04-18 12:52:51,4.8
2018-04-18 13:02:52,4.9
2018-04-18 13:12:53,5
2018-04-18 13:22:54,5
2018-04-18 13:32:55,5
2018-04-18 13:42:56,5
2018-04-18 13:52:57,5
2018-04-18 14:02:58,5
2018-04-18 14:12:59,5
2018-04-18 14:23:00,5.1
2018-04-18 14:33:01,5.1
2018-04-18 14:43:02,5.2
2018-04-18 14:53:03,5.2
2018-04-18 15:03:04,5.3
2018-04-18 15:13:05,5.3
2018-04-18 15:23:06,5.3
2018-04-18 15:33:06,5.3
2018-04-18 15:43:07,4.9
2018-04-18 15:53:08,4.9
2018-04-18 16:03:09,5
2018-04-18 16:13:09,5
2018-04-18 16:23:11,5
2018-04-18 16:33:12,5
2018-04-18 16:43:12,5
2018-04-18 16:53:13,5
2018-04-18 17:03:14,5
2018-04-18 17:13:15,5
2018-04-18 17:23:16,5.2
2018-04-18 17:33:16,5.3
2018-04-18 17:43:18,5.3
2018-04-18 17:53:18,5.3
2018-04-18 18:03:19,5.3
2018-04-18 18:13:20,5.3
2018-04-18 18:23:20,4.8
2018-04-18 18:33:21,4.9
2018-04-18 18:43:22,5
2018-04-18 18:53:23,5
2018-04-18 19:03:24,5
2018-04-18 19:13:26,5
2018-04-18 19:23:27,5
2018-04-18 19:33:28,5
2018-04-18 19:43:29,5
2018-04-18 19:53:30,5
2018-04-18 20:03:31,5.1
2018-04-18 20:13:32,5.3
2018-04-18 20:23:34,5.2
2018-04-18 20:33:34,5.3
2018-04-18 20:43:37,5.3
2018-04-18 20:53:38,5.3
2018-04-18 21:03:39,5.3
2018-04-18 21:13:39,4.9
2018-04-18 21:23:40,4.9
2018-04-18 21:33:41,5
2018-04-18 21:43:42,5
2018-04-18 21:53:42,5
2018-04-18 22:03:43,5
2018-04-18 22:13:45,5
2018-04-18 22:23:45,5
2018-04-18 22:33:46,5
2018-04-18 22:43:47,5
2018-04-18 22:53:48,5.2
2018-04-18 23:03:50,5.3
2018-04-18 23:13:51,5.2
2018-04-18 23:23:52,5.3
2018-04-18 23:33:53,5.3
2018-04-18 23:43:54,5.3
2018-04-18 23:53:56,4.9
2018-04-19 00:03:57,4.9
2018-04-19 00:13:58,5
2018-04-19 00:23:59,5
2018-04-19 00:34:00,5
2018-04-19 00:44:01,5
2018-04-19 00:54:02,5
2018-04-19 01:04:02,5
2018-04-19 01:14:04,5
2018-04-19 01:24:06,5
2018-04-19 01:34:07,5.2
2018-04-19 01:44:09,5.2
2018-04-19 01:54:10,5.3
2018-04-19 02:04:11,5.3
2018-04-19 02:14:12,5.3
2018-04-19 02:24:13,5.3
2018-04-19 02:34:14,5.3
2018-04-19 02:44:15,4.9
2018-04-19 02:54:15,4.9
2018-04-19 03:04:16,5
2018-04-19 03:14:17,5
2018-04-19 03:24:18,5
2018-04-19 03:34:18,5
2018-04-19 03:44:20,5
2018-04-19 03:54:21,5
2018-04-19 04:04:22,5
2018-04-19 04:14:24,5.1
2018-04-19 04:24:25,5.2
2018-04-19 04:34:26,5.3
2018-04-19 04:44:26,5.3
2018-04-19 04:54:27,5.3
2018-04-19 05:04:28,5.3
2018-04-19 05:14:29,5.3
2018-04-19 05:24:29,4.9
2018-04-19 05:34:31,4.9
2018-04-19 05:44:32,5
2018-04-19 05:54:34,5
2018-04-19 06:04:34,5
2018-04-19 06:14:36,5
2018-04-19 06:24:37,5
2018-04-19 06:34:38,5
2018-04-19 06:44:39,5
2018-04-19 06:54:40,5.1
2018-04-19 07:04:42,5.2
2018-04-19 07:14:42,5.2
2018-04-19 07:24:43,5.2
2018-04-19 07:34:45,5.3
2018-04-19 07:44:45,5.3
2018-04-19 07:54:46,5.3
2018-04-19 08:04:47,5.3
2018-04-19 08:14:49,4.9
2018-04-19 08:24:49,4.9
2018-04-19 08:34:50,5
2018-04-19 08:44:51,5
2018-04-19 08:54:52,5
2018-04-19 09:04:53,5
2018-04-19 09:14:55,5
2018-04-19 09:24:56,5
2018-04-19 09:34:57,5
2018-04-19 09:44:58,5.2
2018-04-19 09:55:00,5.2
2018-04-19 10:05:01,5.2
2018-04-19 10:15:01,5.2
2018-04-19 10:25:02,5.3
2018-04-19 10:35:03,5.3
2018-04-19 10:45:04,5.3
2018-04-19 10:55:04,4.9
2018-04-19 11:05:06,4.9
2018-04-19 11:15:07,5
2018-04-19 11:25:08,5
2018-04-19 11:35:08,5
2018-04-19 11:45:09,5
2018-04-19 11:55:10,5
2018-04-19 12:05:10,5
2018-04-19 12:15:12,5
2018-04-19 12:25:13,5.1
2018-04-19 12:35:14,5.2
2018-04-19 12:45:15,5.2
2018-04-19 12:55:16,5.2
2018-04-19 13:05:18,5.3
2018-04-19 13:15:20,5.3
2018-04-19 13:25:20,5.3
2018-04-19 13:35:23,5.3
2018-04-19 13:45:23,4.9
2018-04-19 13:55:24,4.9
2018-04-19 14:05:25,4.9
2018-04-19 14:15:26,4.9
2018-04-19 14:25:27,4.9
2018-04-19 14:35:28,5
2018-04-19 14:45:29,5
2018-04-19 14:55:30,5
2018-04-19 15:05:32,5
2018-04-19 15:15:33,5.1
2018-04-19 15:25:34,5.2
2018-04-19 15:35:35,5.2
2018-04-19 15:45:36,5.2
2018-04-19 15:55:37,5.3
2018-04-19 16:05:38,5.3
2018-04-19 16:15:39,5.3
2018-04-19 16:25:39,5.3
2018-04-19 16:35:40,4.9
2018-04-19 16:45:41,4.9
2018-04-19 16:55:42,4.9
2018-04-19 17:05:43,4.9
2018-04-19 17:15:44,4.9
2018-04-19 17:25:45,4.9
2018-04-19 17:35:46,5
2018-04-19 17:45:47,5.1
