aika,arvo
2018-06-01 00:08:39,21.7
2018-06-01 00:18:41,21.7
2018-06-01 00:28:41,21.7
2018-06-01 00:38:42,21.7
2018-06-01 00:48:43,21.7
2018-06-01 00:58:43,21.7
2018-06-01 01:08:44,21.8
2018-06-01 01:18:45,21.8
2018-06-01 01:28:46,21.8
2018-06-01 01:38:47,21.8
2018-06-01 01:48:47,21.8
2018-06-01 01:58:48,21.8
2018-06-01 02:08:49,21.8
2018-06-01 02:18:50,21.8
2018-06-01 02:28:51,21.8
2018-06-01 02:38:52,21.8
2018-06-01 02:48:53,21.8
2018-06-01 02:58:54,21.9
2018-06-01 03:08:55,21.9
2018-06-01 03:18:56,21.9
2018-06-01 03:28:57,21.9
2018-06-01 03:38:58,21.9
2018-06-01 03:48:59,21.9
2018-06-01 03:58:59,21.9
2018-06-01 04:09:00,21.9
2018-06-01 04:19:01,21.8
2018-06-01 04:29:02,21.9
2018-06-01 04:39:03,21.8
2018-06-01 04:49:04,21.9
2018-06-01 04:59:06,21.9
2018-06-01 05:09:06,21.9
2018-06-01 05:19:08,21.9
2018-06-01 05:29:09,21.9
2018-06-01 05:39:10,21.9
2018-06-01 05:49:10,21.9
2018-06-01 05:59:11,21.9
2018-06-01 06:09:13,21.9
2018-06-01 06:19:14,22
2018-06-01 06:29:15,22
2018-06-01 06:39:15,22
2018-06-01 06:49:16,22
2018-06-01 06:59:17,21.8
2018-06-01 07:09:18,21.8
2018-06-01 07:19:19,21.7
2018-06-01 07:29:20,21.6
2018-06-01 07:39:21,21.6
2018-06-01 07:49:21,21.5
2018-06-01 07:59:22,21.5
2018-06-01 08:09:23,21.4
2018-06-01 08:19:23,21.4
2018-06-01 08:29:24,21.4
2018-06-01 08:39:25,21.5
2018-06-01 08:49:26,21.5
2018-06-01 08:59:27,21.7
2018-06-01 09:09:28,21.9
2018-06-01 09:19:29,22.1
2018-06-01 09:29:30,22.4
2018-06-01 09:39:31,22.8
2018-06-01 09:49:33,22.9
2018-06-01 09:59:35,23
2018-06-01 10:09:36,23
2018-06-01 10:19:37,23.1
2018-06-01 10:29:38,23.2
2018-06-01 10:39:39,23.3
2018-06-01 10:49:40,23.3
2018-06-01 10:59:41,23.3
2018-06-01 11:09:41,23.3
2018-06-01 11:19:42,23.5
2018-06-01 11:29:43,23.6
2018-06-01 11:39:45,23.6
2018-06-01 11:49:46,23.5
2018-06-01 11:59:48,23.4
2018-06-01 12:09:49,23.3
2018-06-01 12:19:50,23.2
2018-06-01 12:29:51,23.3
2018-06-01 12:39:53,23.4
2018-06-01 12:49:53,23.4
2018-06-01 12:59:54,23.4
2018-06-01 13:09:55,23.3
2018-06-01 13:19:57,23.2
2018-06-01 13:29:57,23.2
2018-06-01 13:39:59,23.2
2018-06-01 13:50:00,23.2
2018-06-01 14:00:01,23.2
2018-06-01 14:10:02,23.2
2018-06-01 14:20:03,23.3
2018-06-01 14:30:04,23.3
2018-06-01 14:40:05,23.4
2018-06-01 14:50:06,23.7
2018-06-01 15:00:08,23.9
2018-06-01 15:10:08,23.9
2018-06-01 15:20:09,23.9
2018-06-01 15:30:10,23.9
2018-06-01 15:40:12,24
2018-06-01 15:50:13,24
2018-06-01 16:00:15,23.9
2018-06-01 16:10:17,24
2018-06-01 16:20:17,24
2018-06-01 16:30:18,24.2
2018-06-01 16:40:21,24.1
2018-06-01 16:50:22,23.7
2018-06-01 17:00:23,23.3
2018-06-01 17:10:24,22.9
2018-06-01 17:20:26,22.7
2018-06-01 17:30:27,22.5
2018-06-01 17:40:29,22.3
2018-06-01 17:50:29,22.2
2018-06-01 18:00:31,22.1
2018-06-01 18:10:31,22
2018-06-01 18:20:32,21.9
2018-06-01 18:30:33,21.9
2018-06-01 18:40:33,21.8
2018-06-01 18:50:34,21.8
2018-06-01 19:00:35,21.8
2018-06-01 19:10:36,21.8
2018-06-01 19:20:37,21.8
2018-06-01 19:30:38,21.8
2018-06-01 19:40:40,21.8
2018-06-01 19:50:41,21.8
2018-06-01 20:00:42,21.8
2018-06-01 20:10:43,21.8
2018-06-01 20:20:44,21.9
2018-06-01 20:30:45,21.9
2018-06-01 20:40:45,21.9
2018-06-01 20:50:46,21.9
2018-06-01 21:00:47,21.9
2018-06-01 21:10:47,21.9
2018-06-01 21:20:49,21.9
2018-06-01 21:30:50,21.9
2018-06-01 21:40:50,21.9
2018-06-01 21:50:51,22
2018-06-01 22:00:52,22
2018-06-01 22:10:54,22
2018-06-01 22:20:55,22
2018-06-01 22:30:56,22.1
2018-06-01 22:40:57,22
2018-06-01 22:50:58,22
2018-06-01 23:00:59,22.1
2018-06-01 23:11:00,22.1
2018-06-01 23:21:01,22.1
2018-06-01 23:31:02,22.1
2018-06-01 23:41:02,22.1
2018-06-01 23:51:04,22.1
2018-06-02 00:01:05,22.1
2018-06-02 00:11:06,22.1
2018-06-02 00:21:07,22.2
2018-06-02 00:31:11,22.2
2018-06-02 00:41:13,22.2
2018-06-02 00:51:14,22.2
2018-06-02 01:01:15,22.2
2018-06-02 01:11:16,22.2
2018-06-02 01:21:16,22.2
2018-06-02 01:31:18,22.3
2018-06-02 01:41:20,22.3
2018-06-02 01:51:22,22.3
2018-06-02 02:01:23,22.3
2018-06-02 02:11:24,22.3
2018-06-02 02:21:25,22.3
2018-06-02 02:31:28,22.3
2018-06-02 02:41:28,22.3
2018-06-02 02:51:29,22.4
2018-06-02 03:01:30,22.4
2018-06-02 03:11:32,22.4
2018-06-02 03:21:33,22.4
2018-06-02 03:31:35,22.4
2018-06-02 03:41:36,22.4
2018-06-02 03:51:37,22.4
2018-06-02 04:01:38,22.5
2018-06-02 04:11:40,22.5
2018-06-02 04:21:40,22.4
2018-06-02 04:31:42,22.4
2018-06-02 04:41:43,22.5
2018-06-02 04:51:44,22.5
2018-06-02 05:01:45,22.5
2018-06-02 05:11:46,22.5
2018-06-02 05:21:48,22.5
2018-06-02 05:31:49,22.5
2018-06-02 05:41:50,22.6
2018-06-02 05:51:52,22.6
2018-06-02 06:01:52,22.6
2018-06-02 06:11:54,22.6
2018-06-02 06:21:55,22.6
2018-06-02 06:31:57,22.6
2018-06-02 06:41:57,22.6
2018-06-02 06:51:58,22.6
2018-06-02 07:01:59,22.5
2018-06-02 07:11:59,22.4
2018-06-02 07:22:00,22.3
2018-06-02 07:32:02,22.3
2018-06-02 07:42:02,22.3
2018-06-02 07:52:03,22.3
2018-06-02 08:02:04,22.3
2018-06-02 08:12:07,22.3
2018-06-02 08:22:08,22.3
2018-06-02 08:32:09,22.3
2018-06-02 08:42:10,22.2
2018-06-02 08:52:12,22.3
2018-06-02 09:02:13,22.3
2018-06-02 09:12:14,22.3
2018-06-02 09:22:15,22.3
2018-06-02 09:32:16,22.3
2018-06-02 09:42:17,22.3
2018-06-02 09:52:18,22.3
2018-06-02 10:02:19,22.4
2018-06-02 10:12:20,22.4
2018-06-02 10:22:20,22.4
2018-06-02 10:32:21,22.4
2018-06-02 10:42:23,22.4
2018-06-02 10:52:23,22.5
2018-06-02 11:02:24,22.5
2018-06-02 11:12:26,22.5
2018-06-02 11:22:26,22.6
2018-06-02 11:32:27,22.6
2018-06-02 11:42:28,22.6
2018-06-02 11:52:29,22.6
2018-06-02 12:02:29,22.7
2018-06-02 12:12:31,22.7
2018-06-02 12:22:33,22.6
2018-06-02 12:32:34,22.6
2018-06-02 12:42:34,22.7
2018-06-02 12:52:35,22.7
2018-06-02 13:02:36,22.7
2018-06-02 13:12:37,22.7
2018-06-02 13:22:38,22.7
2018-06-02 13:32:38,22.7
2018-06-02 13:42:39,22.7
2018-06-02 13:52:40,22.7
2018-06-02 14:02:41,22.7
2018-06-02 14:12:41,22.7
2018-06-02 14:22:42,22.8
2018-06-02 14:32:43,22.8
2018-06-02 14:42:44,22.8
2018-06-02 14:52:45,22.8
2018-06-02 15:02:46,22.8
2018-06-02 15:12:46,22.8
2018-06-02 15:22:47,22.8
2018-06-02 15:32:48,22.8
2018-06-02 15:42:49,22.8
2018-06-02 15:52:50,22.9
2018-06-02 16:02:51,22.9
2018-06-02 16:12:53,22.9
2018-06-02 16:22:55,22.9
2018-06-02 16:32:57,22.9
2018-06-02 16:42:57,22.9
2018-06-02 16:52:59,22.9
2018-06-02 17:03:00,22.9
2018-06-02 17:13:01,22.9
2018-06-02 17:23:03,22.9
2018-06-02 17:33:04,22.9
2018-06-02 17:43:05,22.9
2018-06-02 17:53:06,22.9
2018-06-02 18:03:06,22.9
2018-06-02 18:13:08,22.9
2018-06-02 18:23:09,23
2018-06-02 18:33:10,23
2018-06-02 18:43:11,23
2018-06-02 18:53:12,23
2018-06-02 19:03:13,23.1
2018-06-02 19:13:13,23.1
2018-06-02 19:23:14,23.1
2018-06-02 19:33:15,23.1
2018-06-02 19:43:15,23.1
2018-06-02 19:53:17,23.1
2018-06-02 20:03:18,23.2
2018-06-02 20:13:18,23.2
2018-06-02 20:23:20,23.2
2018-06-02 20:33:21,23.2
2018-06-02 20:43:22,23.2
2018-06-02 20:53:23,23.2
2018-06-02 21:03:25,23.2
2018-06-02 21:13:26,23.2
2018-06-02 21:23:26,23.2
2018-06-02 21:33:27,23.3
2018-06-02 21:43:28,23.2
2018-06-02 21:53:28,23.2
2018-06-02 22:03:31,23.3
2018-06-02 22:13:32,23.3
2018-06-02 22:23:33,23.3
2018-06-02 22:33:35,23.3
2018-06-02 22:43:36,23.3
2018-06-02 22:53:39,23.3
2018-06-02 23:03:41,23.3
2018-06-02 23:13:42,23.3
2018-06-02 23:23:43,23.3
2018-06-02 23:33:43,23.3
2018-06-02 23:43:44,23.3
2018-06-02 23:53:46,23.3
2018-06-03 00:03:47,23.3
2018-06-03 00:13:48,23.3
2018-06-03 00:23:49,23.4
2018-06-03 00:33:50,23.3
2018-06-03 00:43:51,23.3
2018-06-03 00:53:52,23.3
2018-06-03 01:03:53,23.3
2018-06-03 01:13:54,23.3
2018-06-03 01:23:54,23.3
2018-06-03 01:33:56,23.3
2018-06-03 01:43:57,23.3
2018-06-03 01:53:58,23.3
2018-06-03 02:03:59,23.3
2018-06-03 02:14:00,23.3
2018-06-03 02:24:02,23.3
2018-06-03 02:34:02,23.4
2018-06-03 02:44:03,23.4
2018-06-03 02:54:04,23.4
2018-06-03 03:04:04,23.3
2018-06-03 03:14:05,23.3
2018-06-03 03:24:06,23.4
2018-06-03 03:34:07,23.4
2018-06-03 03:44:09,23.4
2018-06-03 03:54:11,23.4
2018-06-03 04:04:12,23.3
2018-06-03 04:14:13,23.4
2018-06-03 04:24:14,23.4
2018-06-03 04:34:14,23.3
2018-06-03 04:44:15,23.3
2018-06-03 04:54:16,23.3
2018-06-03 05:04:17,23.3
2018-06-03 05:14:18,23.3
2018-06-03 05:24:19,23.3
2018-06-03 05:34:20,23.2
2018-06-03 05:44:22,23.2
2018-06-03 05:54:23,23.2
2018-06-03 06:04:25,23.2
2018-06-03 06:14:26,23.2
2018-06-03 06:24:27,23.2
2018-06-03 06:34:28,23.2
2018-06-03 06:44:29,23.2
2018-06-03 06:54:30,23.2
2018-06-03 07:04:31,23.1
2018-06-03 07:14:32,23.1
2018-06-03 07:24:32,23
2018-06-03 07:34:33,23
2018-06-03 07:44:35,23
2018-06-03 07:54:38,22.9
2018-06-03 08:04:39,22.8
2018-06-03 08:14:39,22.8
2018-06-03 08:24:41,22.7
2018-06-03 08:34:43,22.7
