aika,arvo
2018-04-09 23:12:52,95.4
2018-04-09 23:13:52,97.3
2018-04-09 23:14:53,96.7
2018-04-09 23:15:53,94.1
2018-04-09 23:16:53,97.7
2018-04-09 23:17:53,96.3
2018-04-09 23:18:54,94.4
2018-04-09 23:19:54,96.1
2018-04-09 23:20:55,94.4
2018-04-09 23:21:55,97
2018-04-09 23:22:55,97.4
2018-04-09 23:23:56,95
2018-04-09 23:24:56,93.9
2018-04-09 23:25:56,94.8
2018-04-09 23:26:57,95.7
2018-04-09 23:27:57,93.6
2018-04-09 23:28:57,93.7
2018-04-09 23:29:57,93.3
2018-04-09 23:30:58,92.8
2018-04-09 23:31:58,93.6
2018-04-09 23:32:58,93.7
2018-04-09 23:33:59,93.6
2018-04-09 23:34:59,92.9
2018-04-09 23:35:59,91.1
2018-04-09 23:37:00,93.1
2018-04-09 23:38:01,90.7
2018-04-09 23:39:01,91.2
2018-04-09 23:40:01,91.5
2018-04-09 23:41:02,92
2018-04-09 23:42:02,92.7
2018-04-09 23:43:02,91.5
2018-04-09 23:44:02,89.8
2018-04-09 23:45:03,92
2018-04-09 23:46:03,89.7
2018-04-09 23:47:03,88.5
2018-04-09 23:48:04,90.6
2018-04-09 23:49:04,90.4
2018-04-09 23:50:04,89.3
2018-04-09 23:51:05,92
2018-04-09 23:52:05,90
2018-04-09 23:53:05,88.2
2018-04-09 23:54:06,91.3
2018-04-09 23:55:06,89.5
2018-04-09 23:56:07,89.5
2018-04-09 23:57:08,87.7
2018-04-09 23:58:08,90.3
2018-04-09 23:59:09,85.9
2018-04-10 00:00:09,83
2018-04-10 00:01:10,88.2
2018-04-10 00:02:10,86.4
2018-04-10 00:03:10,84.8
2018-04-10 00:04:10,90.2
2018-04-10 00:05:11,87
2018-04-10 00:06:11,88.9
2018-04-10 00:07:11,88.7
2018-04-10 00:08:12,87.8
2018-04-10 00:09:12,87.8
2018-04-10 00:10:12,87.6
2018-04-10 00:11:12,86.7
2018-04-10 00:12:13,85.8
2018-04-10 00:13:13,87
2018-04-10 00:14:14,86.2
2018-04-10 00:15:14,86.7
2018-04-10 00:16:14,86
2018-04-10 00:17:15,86.7
2018-04-10 00:18:15,84.9
2018-04-10 00:19:15,84.3
2018-04-10 00:20:16,86
2018-04-10 00:21:17,85.4
2018-04-10 00:22:17,86
2018-04-10 00:23:17,84.3
2018-04-10 00:24:17,86.4
2018-04-10 00:25:18,85.8
2018-04-10 00:26:18,86.3
2018-04-10 00:27:18,87
2018-04-10 00:28:18,82.8
2018-04-10 00:29:19,86.9
2018-04-10 00:30:19,91.6
2018-04-10 00:31:19,104.2
2018-04-10 00:32:20,102.3
2018-04-10 00:33:21,104.4
2018-04-10 00:34:21,105.5
2018-04-10 00:35:21,101.6
2018-04-10 00:36:22,103.2
2018-04-10 00:37:22,102.9
2018-04-10 00:38:22,102.8
2018-04-10 00:39:23,103.3
2018-04-10 00:40:24,102.3
2018-04-10 00:41:25,101.1
2018-04-10 00:42:27,102.4
2018-04-10 00:43:27,102
2018-04-10 00:44:28,100.9
2018-04-10 00:45:28,102.1
2018-04-10 00:46:28,102.3
2018-04-10 00:47:28,102.8
2018-04-10 00:48:29,101.4
2018-04-10 00:49:29,101.6
2018-04-10 00:50:29,101.7
2018-04-10 00:51:30,99.6
2018-04-10 00:52:30,100.3
2018-04-10 00:53:31,100.6
2018-04-10 00:54:31,100.3
2018-04-10 00:55:32,99.1
2018-04-10 00:56:32,98.2
2018-04-10 00:57:32,100.9
2018-04-10 00:58:33,97
2018-04-10 00:59:33,102.1
2018-04-10 01:00:34,97.2
2018-04-10 01:01:35,100
2018-04-10 01:02:35,99.5
2018-04-10 01:03:35,98.1
2018-04-10 01:04:36,101.1
2018-04-10 01:05:36,97
2018-04-10 01:06:36,98.3
2018-04-10 01:07:37,98.4
2018-04-10 01:08:37,99.2
2018-04-10 01:09:38,96.2
2018-04-10 01:10:38,97.5
2018-04-10 01:11:38,99
2018-04-10 01:12:39,96.3
2018-04-10 01:13:40,96.4
2018-04-10 01:14:40,98
2018-04-10 01:15:40,99.2
2018-04-10 01:16:40,95.9
2018-04-10 01:17:41,97.7
2018-04-10 01:18:42,96.4
2018-04-10 01:19:42,97.1
2018-04-10 01:20:42,97.3
2018-04-10 01:21:42,97
2018-04-10 01:22:43,97.9
2018-04-10 01:23:43,94.4
2018-04-10 01:24:44,96.3
2018-04-10 01:25:44,96.3
2018-04-10 01:26:45,95.9
2018-04-10 01:27:45,93.2
2018-04-10 01:28:45,96.6
2018-04-10 01:29:46,93.6
2018-04-10 01:30:46,95.6
2018-04-10 01:31:46,93.7
2018-04-10 01:32:46,94.4
2018-04-10 01:33:47,96.3
2018-04-10 01:34:47,91.7
2018-04-10 01:35:47,96.6
2018-04-10 01:36:48,93
2018-04-10 01:37:48,96
2018-04-10 01:38:49,94.8
2018-04-10 01:39:49,93.2
2018-04-10 01:40:50,90.2
2018-04-10 01:41:50,93.9
2018-04-10 01:42:50,95.6
2018-04-10 01:43:51,93.1
2018-04-10 01:44:51,89.6
2018-04-10 01:45:51,91.7
2018-04-10 01:46:51,92.3
2018-04-10 01:47:52,92.2
2018-04-10 01:48:53,91.3
2018-04-10 01:49:53,93.8
2018-04-10 01:50:53,94.3
2018-04-10 01:51:54,92
2018-04-10 01:52:54,90
2018-04-10 01:53:55,88.9
2018-04-10 01:54:55,94.5
2018-04-10 01:55:56,91.8
2018-04-10 01:56:56,91.9
2018-04-10 01:57:57,88.9
2018-04-10 01:58:57,92.7
2018-04-10 01:59:57,91.5
2018-04-10 02:00:58,89.7
2018-04-10 02:01:59,89.1
2018-04-10 02:02:59,91.3
2018-04-10 02:03:59,90.7
2018-04-10 02:05:00,88
2018-04-10 02:06:00,89
2018-04-10 02:07:00,90.6
2018-04-10 02:08:00,90.1
2018-04-10 02:09:01,89.8
2018-04-10 02:10:02,88.2
2018-04-10 02:11:02,87.4
2018-04-10 02:12:02,87.8
2018-04-10 02:13:03,92.7
2018-04-10 02:14:03,88.6
2018-04-10 02:15:04,86.2
2018-04-10 02:16:04,85.5
2018-04-10 02:17:04,88.3
2018-04-10 02:18:04,87.8
2018-04-10 02:19:05,86.9
2018-04-10 02:20:05,89
2018-04-10 02:21:05,85.9
2018-04-10 02:22:06,87.1
2018-04-10 02:23:06,86.6
2018-04-10 02:24:06,85.1
2018-04-10 02:25:07,86.2
2018-04-10 02:26:07,84.9
2018-04-10 02:27:07,84.7
2018-04-10 02:28:09,86.3
2018-04-10 02:29:09,86.8
2018-04-10 02:30:09,89.5
2018-04-10 02:31:09,84.7
2018-04-10 02:32:10,86.2
2018-04-10 02:33:10,82.2
2018-04-10 02:34:11,84.4
2018-04-10 02:35:11,86.5
2018-04-10 02:36:11,85.4
2018-04-10 02:37:12,84.3
2018-04-10 02:38:12,85.5
2018-04-10 02:39:12,83.1
2018-04-10 02:40:12,83.8
2018-04-10 02:41:13,104.9
2018-04-10 02:42:14,105.4
2018-04-10 02:43:14,105
2018-04-10 02:44:15,103.2
2018-04-10 02:45:15,103.9
2018-04-10 02:46:16,100.8
2018-04-10 02:47:16,103.1
2018-04-10 02:48:16,103.7
2018-04-10 02:49:17,104.5
2018-04-10 02:50:17,102.8
2018-04-10 02:51:18,101
2018-04-10 02:52:19,103.2
2018-04-10 02:53:19,102.3
2018-04-10 02:54:20,103
2018-04-10 02:55:20,101.7
2018-04-10 02:56:21,101.6
2018-04-10 02:57:21,101.7
2018-04-10 02:58:21,99.7
2018-04-10 02:59:22,103.1
2018-04-10 03:00:22,99.7
2018-04-10 03:01:22,101.1
2018-04-10 03:02:22,101.3
2018-04-10 03:03:23,100.8
2018-04-10 03:04:24,100.5
2018-04-10 03:05:24,100.3
2018-04-10 03:06:25,99.3
2018-04-10 03:07:25,99.5
2018-04-10 03:08:25,101.2
2018-04-10 03:09:25,99.7
2018-04-10 03:10:26,100
2018-04-10 03:11:26,98.4
2018-04-10 03:12:26,100
2018-04-10 03:13:27,96.5
2018-04-10 03:14:27,99.4
2018-04-10 03:15:28,97.9
2018-04-10 03:16:28,99.6
2018-04-10 03:17:29,98.6
2018-04-10 03:18:29,99.8
2018-04-10 03:19:29,97.7
2018-04-10 03:20:30,94.7
2018-04-10 03:21:30,95
2018-04-10 03:22:30,98.3
2018-04-10 03:23:30,97
2018-04-10 03:24:31,97.4
2018-04-10 03:25:31,97.4
2018-04-10 03:26:31,98
2018-04-10 03:27:31,99.5
2018-04-10 03:28:32,98.5
2018-04-10 03:29:32,96.8
2018-04-10 03:30:33,98.1
2018-04-10 03:31:33,97.6
2018-04-10 03:32:33,96.7
2018-04-10 03:33:34,94.8
2018-04-10 03:34:34,94.5
2018-04-10 03:35:34,95.4
2018-04-10 03:36:35,96
2018-04-10 03:37:35,96.4
2018-04-10 03:38:37,93.7
2018-04-10 03:39:37,94.4
2018-04-10 03:40:37,94.4
2018-04-10 03:41:38,93.2
2018-04-10 03:42:38,92.6
2018-04-10 03:43:39,93.4
2018-04-10 03:44:39,97
2018-04-10 03:45:40,91.8
2018-04-10 03:46:40,94.3
2018-04-10 03:47:41,92.9
2018-04-10 03:48:41,93.4
2018-04-10 03:49:41,93.3
2018-04-10 03:50:41,93.5
2018-04-10 03:51:42,92.4
2018-04-10 03:52:42,93.7
2018-04-10 03:53:42,95
2018-04-10 03:54:43,94.6
2018-04-10 03:55:43,93.2
2018-04-10 03:56:44,91.7
2018-04-10 03:57:44,89.5
2018-04-10 03:58:44,92.1
2018-04-10 03:59:45,92.4
2018-04-10 04:00:45,90.5
2018-04-10 04:01:46,90.2
2018-04-10 04:02:46,87.7
2018-04-10 04:03:47,88.5
2018-04-10 04:04:47,87.9
2018-04-10 04:05:47,87
2018-04-10 04:06:48,90.9
